PlayerKey,Season,PlayerName,SalaryTeam,StatsTeam,AvgShotDistance,FGA_2P_Frequency,FGA_0_3_Frequency,FGA_3_10_Frequency,FGA_10_16_Frequency,FGA_16_3P_Frequency,FGA_3P_Frequency,FG_2P_Pct,FG_0_3_Pct,FG_3_10_Pct,FG_10_16_Pct,FG_16_3P_Pct,FG_3P_Pct,Assisted2P_Pct,Assisted3P_Pct,Dunk_FGA_Pct,DunksMade,Corner3_Frequency,Corner3Pct,HalfCourtAttempts,HalfCourtMakes
P0334,2025-26,Larry Nance Jr.,CLE,CLE,14.2,0.492,0.315,0.137,0.04,0.0,0.508,0.508,0.667,0.176,0.4,,0.333,0.774,1.0,0.153,16.0,0.476,0.467,0.0,0.0
P0335,2025-26,Lauri Markkanen,UTA,UTA,13.9,0.598,0.21,0.267,0.073,0.047,0.402,0.559,0.734,0.507,0.441,0.263,0.355,0.717,0.948,0.096,70.0,0.207,0.478,0.0,0.0
P0336,2025-26,Lawson Lovering,MEM,MEM,2.6,1.0,0.5,0.5,0.0,0.0,0.0,0.6,1.0,0.2,,,,0.667,,0.5,4.0,,,0.0,0.0
P0337,2025-26,LeBron James,LAL,LAL,11.9,0.736,0.292,0.235,0.123,0.086,0.264,0.586,0.784,0.5,0.425,0.38,0.317,0.518,0.649,0.112,97.0,0.193,0.298,0.0,0.0
P0338,2025-26,Leonard Miller,CHI,2TM,10.8,0.622,0.466,0.134,0.019,0.004,0.378,0.693,0.77,0.457,0.4,1.0,0.323,0.69,0.969,0.149,38.0,0.465,0.413,0.0,0.0
P0339,2025-26,Liam McNeeley,CHO,CHO,18.0,0.368,0.126,0.211,0.032,0.0,0.632,0.4,0.667,0.3,0.0,,0.4,0.714,0.958,0.0,0.0,0.35,0.381,0.0,0.0
P0340,2025-26,Lindy Waters III,SAS,SAS,23.3,0.102,0.057,0.023,0.011,0.011,0.898,0.667,0.6,0.5,1.0,1.0,0.342,0.667,0.926,0.023,2.0,0.278,0.364,0.0,0.0
P0341,2025-26,Lonzo Ball,UTA,CLE,22.5,0.165,0.097,0.023,0.023,0.023,0.835,0.448,0.588,0.25,0.5,0.0,0.272,0.538,0.85,0.011,1.0,0.197,0.241,0.0,0.0
P0342,2025-26,Lucas Williamson,MEM,MEM,19.2,0.293,0.173,0.08,0.04,0.0,0.707,0.455,0.538,0.5,0.0,,0.283,0.7,1.0,0.0,0.0,0.226,0.25,0.0,0.0
P0343,2025-26,Luguentz Dort,OKC,OKC,20.5,0.29,0.115,0.055,0.078,0.042,0.71,0.487,0.667,0.241,0.463,0.364,0.344,0.716,0.984,0.032,16.0,0.196,0.356,0.0,0.0
